# time totalContactTime
274.6000 11938.8000
275.6000 11980.8000
276.6000 12022.8000
277.6000 12064.8000
278.6000 12106.8000
279.6000 12148.8000
280.6000 12190.8000
281.6000 12232.8000
282.6000 12274.8000
283.6000 12316.8000
284.6000 12358.8000
285.6000 12400.8000
286.6000 12442.8000
287.6000 12484.8000
288.6000 12526.8000
289.6000 12568.8000
290.6000 12610.8000
291.6000 12652.8000
292.6000 12694.8000
293.6000 12736.8000
294.6000 12778.8000
295.6000 12820.8000
296.6000 12862.8000
297.6000 12904.8000
298.6000 12946.8000
299.6000 12988.8000
300.6000 13030.8000
301.6000 13071.2000
302.6000 13105.2000
303.6000 13139.2000
304.6000 13173.2000
305.6000 13207.2000
306.6000 13241.2000
307.6000 13275.2000
308.6000 13309.2000
309.6000 13343.2000
310.6000 13377.2000
311.6000 13411.2000
312.6000 13445.2000
313.6000 13479.2000
314.6000 13513.2000
315.6000 13547.2000
316.6000 13581.2000
317.6000 13615.2000
318.6000 13649.2000
319.6000 13683.2000
320.6000 13717.2000
321.6000 13751.2000
322.6000 13785.2000
323.6000 13819.2000
324.6000 13853.2000
325.6000 13887.2000
326.6000 13921.2000
327.6000 13955.2000
328.6000 13989.2000
329.6000 14023.2000
330.6000 14057.2000
331.6000 14091.2000
332.6000 14125.2000
333.6000 14159.2000
334.6000 14193.2000
335.6000 14227.2000
336.6000 14261.2000
337.6000 14295.2000
338.6000 14329.2000
339.6000 14363.2000
340.6000 14397.2000
341.6000 14431.2000
342.6000 14465.2000
343.6000 14499.2000
344.6000 14533.2000
345.6000 14567.2000
346.6000 14601.2000
347.6000 14635.2000
348.6000 14669.2000
349.6000 14703.2000
350.6000 14737.2000
351.6000 14771.2000
352.6000 14805.2000
353.6000 14839.2000
354.6000 14873.2000
355.6000 14907.2000
356.6000 14941.2000
357.6000 14975.2000
358.6000 15009.2000
359.6000 15043.2000
360.6000 15077.2000
361.6000 15111.2000
362.6000 15145.2000
363.6000 15179.2000
364.6000 15213.2000
365.6000 15247.2000
366.6000 15281.2000
367.6000 15315.2000
368.6000 15349.2000
369.6000 15383.2000
370.6000 15417.2000
371.6000 15451.2000
372.6000 15485.2000
373.6000 15519.2000
374.6000 15553.2000
375.6000 15587.2000
376.6000 15621.2000
377.6000 15655.2000
378.6000 15689.2000
379.6000 15723.2000
380.6000 15757.2000
381.6000 15791.2000
382.6000 15825.2000
383.6000 15859.2000
384.6000 15893.2000
385.6000 15927.2000
386.6000 15961.2000
387.6000 15995.2000
388.6000 16029.2000
389.6000 16063.2000
390.6000 16097.2000
391.6000 16131.2000
392.6000 16165.2000
393.6000 16199.2000
394.6000 16233.2000
395.6000 16267.2000
396.6000 16301.2000
397.6000 16335.2000
398.6000 16369.2000
399.6000 16403.2000
400.6000 16437.2000
401.6000 16471.2000
402.6000 16505.2000
403.6000 16539.2000
404.6000 16573.2000
405.6000 16607.2000
406.6000 16641.2000
407.6000 16675.2000
408.6000 16709.2000
409.6000 16743.2000
410.6000 16777.2000
411.6000 16811.2000
412.6000 16845.2000
413.6000 16879.2000
414.6000 16913.2000
415.6000 16947.2000
416.6000 16981.2000
417.6000 17015.2000
418.6000 17049.2000
419.6000 17083.2000
420.6000 17117.2000
421.6000 17151.2000
422.6000 17185.2000
423.6000 17219.2000
424.6000 17253.2000
425.6000 17287.2000
426.6000 17321.2000
427.6000 17355.2000
428.6000 17389.2000
429.6000 17423.2000
430.6000 17457.2000
431.6000 17491.2000
432.6000 17525.2000
433.6000 17559.2000
434.6000 17593.2000
435.6000 17627.2000
436.6000 17661.2000
437.6000 17695.2000
438.6000 17729.2000
439.6000 17763.2000
440.6000 17797.2000
441.6000 17831.2000
442.6000 17865.2000
443.6000 17899.2000
444.6000 17933.2000
445.6000 17967.2000
446.6000 18001.2000
447.6000 18035.2000
448.6000 18069.2000
449.6000 18103.2000
450.6000 18137.2000
451.6000 18171.2000
452.6000 18205.2000
453.6000 18239.2000
454.6000 18273.2000
455.6000 18307.2000
456.6000 18341.2000
457.6000 18375.2000
458.6000 18409.2000
459.6000 18443.2000
460.6000 18477.2000
461.6000 18511.2000
462.6000 18545.2000
463.6000 18579.2000
464.6000 18613.2000
465.6000 18647.2000
466.6000 18681.2000
467.6000 18715.2000
468.6000 18749.2000
469.6000 18783.2000
470.6000 18817.2000
471.6000 18851.2000
472.6000 18885.2000
473.6000 18919.2000
474.6000 18953.2000
475.6000 18987.2000
476.6000 19021.2000
477.6000 19055.2000
478.6000 19089.2000
479.6000 19123.2000
480.6000 19157.2000
481.6000 19191.2000
482.6000 19225.2000
483.6000 19259.2000
484.6000 19293.2000
485.6000 19327.2000
486.6000 19361.2000
487.6000 19395.2000
488.6000 19429.2000
489.6000 19463.2000
490.6000 19497.2000
491.6000 19531.2000
492.6000 19565.2000
493.6000 19599.2000
494.6000 19633.2000
495.6000 19667.2000
496.6000 19701.2000
497.6000 19735.2000
498.6000 19769.2000
499.6000 19803.2000
500.6000 19837.2000
501.6000 19869.1000
502.6000 19896.1000
503.6000 19923.1000
504.6000 19950.1000
505.6000 19977.1000
506.6000 20004.1000
507.6000 20031.1000
508.6000 20058.1000
509.6000 20085.1000
510.6000 20112.1000
511.6000 20139.1000
512.6000 20166.1000
513.6000 20193.1000
514.6000 20220.1000
515.6000 20247.1000
516.6000 20274.1000
517.6000 20301.1000
518.6000 20328.1000
519.6000 20355.1000
520.6000 20382.1000
521.6000 20409.1000
522.6000 20436.1000
523.6000 20463.1000
524.6000 20490.1000
525.6000 20517.1000
526.6000 20544.1000
527.6000 20571.1000
528.6000 20598.1000
529.6000 20625.1000
530.6000 20652.1000
531.6000 20679.1000
532.6000 20706.1000
533.6000 20733.1000
534.6000 20760.1000
535.6000 20787.1000
536.6000 20814.1000
537.6000 20841.1000
538.6000 20868.1000
539.6000 20895.1000
540.6000 20922.1000
541.6000 20949.1000
542.6000 20976.1000
543.6000 21003.1000
544.6000 21030.1000
545.6000 21057.1000
