# time totalContactTime
274.6000 11295.4000
275.6000 11331.4000
276.6000 11367.4000
277.6000 11403.4000
278.6000 11439.4000
279.6000 11475.4000
280.6000 11511.4000
281.6000 11547.4000
282.6000 11583.4000
283.6000 11619.4000
284.6000 11655.4000
285.6000 11691.4000
286.6000 11727.4000
287.6000 11763.4000
288.6000 11799.4000
289.6000 11835.4000
290.6000 11871.4000
291.6000 11907.4000
292.6000 11943.4000
293.6000 11979.4000
294.6000 12015.4000
295.6000 12051.4000
296.6000 12087.4000
297.6000 12123.4000
298.6000 12159.4000
299.6000 12195.4000
300.6000 12231.4000
301.6000 12267.4000
302.6000 12303.4000
303.6000 12339.4000
304.6000 12375.4000
305.6000 12411.4000
306.6000 12447.4000
307.6000 12483.4000
308.6000 12519.4000
309.6000 12555.4000
310.6000 12591.4000
311.6000 12627.4000
312.6000 12663.4000
313.6000 12699.4000
314.6000 12735.4000
315.6000 12771.4000
316.6000 12807.4000
317.6000 12843.4000
318.6000 12879.4000
319.6000 12915.4000
320.6000 12951.4000
321.6000 12987.4000
322.6000 13023.4000
323.6000 13059.4000
324.6000 13095.4000
325.6000 13131.4000
326.6000 13167.4000
327.6000 13203.4000
328.6000 13239.4000
329.6000 13275.4000
330.6000 13311.4000
331.6000 13347.4000
332.6000 13383.4000
333.6000 13419.4000
334.6000 13455.4000
335.6000 13491.4000
336.6000 13527.4000
337.6000 13563.4000
338.6000 13599.4000
339.6000 13635.4000
340.6000 13671.4000
341.6000 13707.4000
342.6000 13743.4000
343.6000 13779.4000
344.6000 13815.4000
345.6000 13851.4000
346.6000 13887.4000
347.6000 13923.4000
348.6000 13959.4000
349.6000 13995.4000
350.6000 14031.4000
351.6000 14067.4000
352.6000 14103.4000
353.6000 14139.4000
354.6000 14175.4000
355.6000 14211.4000
356.6000 14247.4000
357.6000 14283.4000
358.6000 14319.4000
359.6000 14355.4000
360.6000 14391.4000
361.6000 14427.4000
362.6000 14463.4000
363.6000 14499.4000
364.6000 14535.4000
365.6000 14571.4000
366.6000 14607.4000
367.6000 14643.4000
368.6000 14679.4000
369.6000 14715.4000
370.6000 14751.4000
371.6000 14787.4000
372.6000 14823.4000
373.6000 14859.4000
374.6000 14895.4000
375.6000 14931.4000
376.6000 14967.4000
377.6000 15003.4000
