# time totalContactTime
274.6000 12046.0000
275.6000 12084.0000
276.6000 12122.0000
277.6000 12160.0000
278.6000 12198.0000
279.6000 12236.0000
280.6000 12274.0000
281.6000 12312.0000
282.6000 12350.0000
283.6000 12388.0000
284.6000 12426.0000
285.6000 12464.0000
286.6000 12502.0000
287.6000 12540.0000
288.6000 12578.0000
289.6000 12616.0000
290.6000 12654.0000
291.6000 12692.0000
292.6000 12730.0000
293.6000 12768.0000
294.6000 12806.0000
295.6000 12844.0000
296.6000 12882.0000
297.6000 12920.0000
298.6000 12958.0000
299.6000 12996.0000
300.6000 13034.0000
301.6000 13070.6000
302.6000 13101.6000
303.6000 13132.6000
304.6000 13163.6000
305.6000 13194.6000
306.6000 13225.6000
307.6000 13256.6000
308.6000 13287.6000
309.6000 13318.6000
310.6000 13349.6000
311.6000 13380.6000
312.6000 13411.6000
313.6000 13442.6000
314.6000 13473.6000
315.6000 13504.6000
316.6000 13535.6000
317.6000 13566.6000
318.6000 13597.6000
319.6000 13628.6000
320.6000 13659.6000
321.6000 13690.6000
322.6000 13721.6000
323.6000 13752.6000
324.6000 13783.6000
325.6000 13814.6000
326.6000 13845.6000
327.6000 13876.6000
328.6000 13907.6000
329.6000 13938.6000
330.6000 13969.6000
331.6000 14000.6000
332.6000 14031.6000
333.6000 14062.6000
334.6000 14093.6000
335.6000 14124.6000
336.6000 14155.6000
337.6000 14186.6000
338.6000 14217.6000
339.6000 14248.6000
340.6000 14279.6000
341.6000 14310.6000
342.6000 14341.6000
343.6000 14372.6000
344.6000 14403.6000
345.6000 14434.6000
346.6000 14465.6000
347.6000 14496.6000
348.6000 14527.6000
349.6000 14558.6000
350.6000 14589.6000
351.6000 14620.6000
352.6000 14651.6000
353.6000 14682.6000
354.6000 14713.6000
355.6000 14744.6000
356.6000 14775.6000
357.6000 14806.6000
358.6000 14837.6000
359.6000 14868.6000
360.6000 14899.6000
361.6000 14930.6000
362.6000 14961.6000
363.6000 14992.6000
364.6000 15023.6000
365.6000 15054.6000
366.6000 15085.6000
367.6000 15116.6000
368.6000 15147.6000
369.6000 15178.6000
370.6000 15209.6000
371.6000 15240.6000
372.6000 15271.6000
373.6000 15302.6000
374.6000 15333.6000
375.6000 15364.6000
376.6000 15395.6000
377.6000 15426.6000
378.6000 15457.6000
379.6000 15488.6000
380.6000 15519.6000
381.6000 15550.6000
382.6000 15581.6000
383.6000 15612.6000
384.6000 15643.6000
385.6000 15674.6000
386.6000 15705.6000
387.6000 15736.6000
388.6000 15767.6000
389.6000 15798.6000
390.6000 15829.6000
391.6000 15860.6000
392.6000 15891.6000
393.6000 15922.6000
394.6000 15953.6000
395.6000 15984.6000
396.6000 16015.6000
397.6000 16046.6000
398.6000 16077.6000
399.6000 16108.6000
400.6000 16139.6000
401.6000 16170.6000
402.6000 16201.6000
403.6000 16232.6000
404.6000 16263.6000
405.6000 16294.6000
406.6000 16325.6000
407.6000 16356.6000
408.6000 16387.6000
409.6000 16418.6000
410.6000 16449.6000
411.6000 16480.6000
412.6000 16511.6000
413.6000 16542.6000
414.6000 16573.6000
415.6000 16604.6000
416.6000 16635.6000
417.6000 16666.6000
418.6000 16697.6000
419.6000 16728.6000
420.6000 16759.6000
421.6000 16790.6000
422.6000 16821.6000
423.6000 16852.6000
424.6000 16883.6000
425.6000 16914.6000
426.6000 16945.6000
427.6000 16976.6000
428.6000 17007.6000
429.6000 17038.6000
430.6000 17069.6000
431.6000 17100.6000
432.6000 17131.6000
433.6000 17162.6000
434.6000 17193.6000
435.6000 17224.6000
436.6000 17255.6000
437.6000 17286.6000
438.6000 17317.6000
439.6000 17348.6000
440.6000 17379.6000
441.6000 17410.6000
442.6000 17441.6000
443.6000 17472.6000
444.6000 17503.6000
445.6000 17534.6000
446.6000 17565.6000
447.6000 17596.6000
448.6000 17627.6000
449.6000 17658.6000
450.6000 17689.6000
451.6000 17720.6000
452.6000 17751.6000
453.6000 17782.6000
454.6000 17813.6000
455.6000 17844.6000
456.6000 17875.6000
457.6000 17906.6000
458.6000 17937.6000
459.6000 17968.6000
460.6000 17999.6000
461.6000 18030.6000
462.6000 18061.6000
463.6000 18092.6000
464.6000 18123.6000
465.6000 18154.6000
466.6000 18185.6000
467.6000 18216.6000
468.6000 18247.6000
469.6000 18278.6000
470.6000 18309.6000
471.6000 18340.6000
472.6000 18371.6000
473.6000 18402.6000
474.6000 18433.6000
475.6000 18464.6000
476.6000 18495.6000
477.6000 18526.6000
478.6000 18557.6000
479.6000 18588.6000
480.6000 18619.6000
481.6000 18650.6000
482.6000 18681.6000
483.6000 18712.6000
484.6000 18743.6000
485.6000 18774.6000
486.6000 18805.6000
487.6000 18836.6000
488.6000 18867.6000
489.6000 18898.6000
490.6000 18929.6000
491.6000 18960.6000
492.6000 18991.6000
493.6000 19022.6000
494.6000 19053.6000
495.6000 19084.6000
496.6000 19115.6000
497.6000 19146.6000
498.6000 19177.6000
499.6000 19208.6000
500.6000 19239.6000
501.6000 19268.8000
502.6000 19293.8000
503.6000 19318.8000
504.6000 19343.8000
505.6000 19368.8000
506.6000 19393.8000
507.6000 19418.8000
508.6000 19443.8000
509.6000 19468.8000
510.6000 19493.8000
511.6000 19518.8000
512.6000 19543.8000
513.6000 19568.8000
514.6000 19593.8000
515.6000 19618.8000
516.6000 19643.8000
517.6000 19668.8000
518.6000 19693.8000
519.6000 19718.8000
520.6000 19743.8000
521.6000 19768.8000
522.6000 19793.8000
523.6000 19818.8000
524.6000 19843.8000
525.6000 19868.8000
526.6000 19893.8000
527.6000 19918.8000
528.6000 19943.8000
529.6000 19968.8000
530.6000 19993.8000
531.6000 20018.8000
532.6000 20043.8000
533.6000 20068.8000
534.6000 20093.8000
535.6000 20118.8000
536.6000 20143.8000
537.6000 20168.8000
538.6000 20193.8000
539.6000 20218.8000
540.6000 20243.8000
541.6000 20268.8000
542.6000 20293.8000
543.6000 20318.8000
544.6000 20343.8000
545.6000 20368.8000
546.6000 20393.8000
547.6000 20418.8000
548.6000 20443.8000
549.6000 20468.8000
550.6000 20493.8000
551.6000 20518.8000
552.6000 20543.8000
553.6000 20568.8000
554.6000 20593.8000
555.6000 20618.8000
556.6000 20643.8000
557.6000 20668.8000
558.6000 20693.8000
559.6000 20718.8000
560.6000 20743.8000
561.6000 20768.8000
562.6000 20793.8000
563.6000 20818.8000
564.6000 20843.8000
565.6000 20868.8000
566.6000 20893.8000
567.6000 20918.8000
568.6000 20943.8000
569.6000 20968.8000
570.6000 20993.8000
571.6000 21018.8000
572.6000 21043.8000
573.6000 21068.8000
574.6000 21093.8000
575.6000 21118.8000
576.6000 21143.8000
577.6000 21168.8000
578.6000 21193.8000
579.6000 21218.8000
580.6000 21243.8000
581.6000 21268.8000
582.6000 21293.8000
583.6000 21318.8000
584.6000 21343.8000
585.6000 21368.8000
586.6000 21393.8000
587.6000 21418.8000
588.6000 21443.8000
589.6000 21468.8000
590.6000 21493.8000
591.6000 21518.8000
592.6000 21543.8000
593.6000 21568.8000
594.6000 21593.8000
595.6000 21618.8000
596.6000 21643.8000
597.6000 21668.8000
598.6000 21693.8000
599.6000 21718.8000
600.6000 21743.8000
601.6000 21765.2000
602.6000 21778.2000
603.6000 21791.2000
604.6000 21804.2000
605.6000 21817.2000
606.6000 21830.2000
607.6000 21843.2000
608.6000 21856.2000
609.6000 21869.2000
610.6000 21882.2000
611.6000 21895.2000
612.6000 21908.2000
613.6000 21921.2000
614.6000 21934.2000
615.6000 21947.2000
616.6000 21960.2000
617.6000 21973.2000
618.6000 21986.2000
619.6000 21999.2000
620.6000 22012.2000
621.6000 22025.2000
622.6000 22038.2000
623.6000 22051.2000
624.6000 22064.2000
625.6000 22077.2000
626.6000 22090.2000
627.6000 22103.2000
628.6000 22116.2000
629.6000 22129.2000
630.6000 22142.2000
631.6000 22155.2000
632.6000 22168.2000
633.6000 22181.2000
634.6000 22194.2000
635.6000 22207.2000
636.6000 22220.2000
637.6000 22233.2000
638.6000 22246.2000
639.6000 22259.2000
640.6000 22272.2000
641.6000 22285.2000
642.6000 22298.2000
643.6000 22311.2000
644.6000 22324.2000
645.6000 22337.2000
646.6000 22350.2000
647.6000 22363.2000
648.6000 22376.2000
649.6000 22389.2000
650.6000 22402.2000
651.6000 22415.2000
652.6000 22428.2000
653.6000 22441.2000
654.6000 22454.2000
655.6000 22467.2000
656.6000 22480.2000
657.6000 22493.2000
658.6000 22506.2000
659.6000 22519.2000
660.6000 22531.2000
661.6000 22543.2000
662.6000 22555.2000
663.6000 22567.2000
664.6000 22579.2000
665.6000 22591.2000
666.6000 22603.2000
667.6000 22615.2000
668.6000 22627.2000
669.6000 22639.2000
670.6000 22651.2000
671.6000 22663.2000
672.6000 22675.2000
673.6000 22687.2000
674.6000 22699.2000
675.6000 22711.2000
676.6000 22723.2000
677.6000 22735.2000
678.6000 22747.2000
679.6000 22759.2000
680.6000 22771.2000
681.6000 22783.2000
682.6000 22795.2000
683.6000 22807.2000
684.6000 22819.2000
685.6000 22831.2000
686.6000 22843.2000
687.6000 22855.2000
688.6000 22867.2000
689.6000 22879.2000
690.6000 22891.2000
691.6000 22903.2000
692.6000 22915.2000
693.6000 22927.2000
694.6000 22939.2000
695.6000 22951.2000
696.6000 22963.2000
697.6000 22975.2000
698.6000 22987.2000
699.6000 22999.2000
700.6000 23011.2000
701.6000 23023.2000
702.6000 23035.2000
703.6000 23047.2000
704.6000 23059.2000
705.6000 23071.2000
706.6000 23083.2000
707.6000 23095.2000
708.6000 23107.2000
709.6000 23119.2000
710.6000 23131.2000
711.6000 23143.2000
712.6000 23155.2000
713.6000 23167.2000
714.6000 23179.2000
715.6000 23191.2000
716.6000 23203.2000
717.6000 23215.2000
718.6000 23227.2000
719.6000 23239.2000
720.6000 23251.2000
721.6000 23263.2000
722.6000 23275.2000
723.6000 23287.2000
724.6000 23299.2000
725.6000 23311.2000
726.6000 23323.2000
727.6000 23335.2000
728.6000 23347.2000
729.6000 23359.2000
730.6000 23371.2000
731.6000 23383.2000
732.6000 23395.2000
733.6000 23407.2000
734.6000 23419.2000
735.6000 23431.2000
736.6000 23443.2000
737.6000 23455.2000
738.6000 23467.2000
739.6000 23479.2000
740.6000 23491.2000
741.6000 23503.2000
742.6000 23515.2000
743.6000 23527.2000
744.6000 23539.2000
745.6000 23551.2000
746.6000 23563.2000
747.6000 23575.2000
748.6000 23587.2000
749.6000 23599.2000
750.6000 23611.2000
751.6000 23623.2000
752.6000 23635.2000
753.6000 23647.2000
754.6000 23659.2000
755.6000 23671.2000
756.6000 23683.2000
757.6000 23695.2000
758.6000 23707.2000
759.6000 23719.2000
760.6000 23731.2000
761.6000 23743.2000
762.6000 23755.2000
763.6000 23767.2000
764.6000 23779.2000
765.6000 23791.2000
766.6000 23803.2000
767.6000 23815.2000
768.6000 23827.2000
769.6000 23839.2000
770.6000 23851.2000
771.6000 23863.2000
772.6000 23875.2000
773.6000 23887.2000
774.6000 23899.2000
775.6000 23911.2000
776.6000 23923.2000
777.6000 23935.2000
778.6000 23947.2000
779.6000 23959.2000
780.6000 23971.2000
781.6000 23983.2000
782.6000 23995.2000
783.6000 24007.2000
784.6000 24019.2000
785.6000 24031.2000
786.6000 24043.2000
787.6000 24055.2000
788.6000 24067.2000
789.6000 24079.2000
790.6000 24091.2000
791.6000 24103.2000
792.6000 24115.2000
793.6000 24127.2000
794.6000 24139.2000
795.6000 24151.2000
796.6000 24163.2000
797.6000 24175.2000
798.6000 24187.2000
799.6000 24199.2000
800.6000 24211.2000
801.6000 24222.3000
802.6000 24231.3000
803.6000 24240.3000
804.6000 24249.3000
805.6000 24258.3000
806.6000 24267.3000
807.6000 24276.3000
808.6000 24285.3000
809.6000 24294.3000
810.6000 24303.3000
811.6000 24312.3000
812.6000 24321.3000
813.6000 24330.3000
814.6000 24339.3000
815.6000 24348.3000
816.6000 24357.3000
817.6000 24366.3000
818.6000 24375.3000
819.6000 24384.3000
820.6000 24393.3000
821.6000 24402.3000
822.6000 24411.3000
823.6000 24420.3000
824.6000 24429.3000
825.6000 24438.3000
826.6000 24447.3000
827.6000 24456.3000
828.6000 24465.3000
829.6000 24474.3000
830.6000 24483.3000
831.6000 24492.3000
832.6000 24501.3000
833.6000 24510.3000
834.6000 24519.3000
835.6000 24528.3000
836.6000 24537.3000
837.6000 24546.3000
838.6000 24555.3000
839.6000 24564.3000
840.6000 24573.3000
841.6000 24582.3000
842.6000 24591.3000
843.6000 24600.3000
844.6000 24609.3000
845.6000 24618.3000
846.6000 24627.3000
847.6000 24636.3000
848.6000 24645.3000
849.6000 24654.3000
850.6000 24663.3000
851.6000 24672.3000
852.6000 24681.3000
853.6000 24690.3000
854.6000 24699.3000
855.6000 24708.3000
856.6000 24717.3000
857.6000 24726.3000
858.6000 24735.3000
859.6000 24744.3000
860.6000 24753.3000
861.6000 24762.3000
862.6000 24771.3000
863.6000 24780.3000
864.6000 24789.3000
865.6000 24798.3000
866.6000 24807.3000
867.6000 24816.3000
868.6000 24825.3000
869.6000 24834.3000
870.6000 24843.3000
871.6000 24852.3000
872.6000 24861.3000
873.6000 24870.3000
874.6000 24879.3000
875.6000 24888.3000
876.6000 24897.3000
877.6000 24906.3000
878.6000 24915.3000
879.6000 24924.3000
880.6000 24933.3000
881.6000 24942.3000
882.6000 24951.3000
883.6000 24960.3000
884.6000 24969.3000
885.6000 24978.3000
886.6000 24987.3000
887.6000 24996.3000
888.6000 25005.3000
889.6000 25014.3000
890.6000 25023.3000
891.6000 25032.3000
892.6000 25041.3000
893.6000 25050.3000
894.6000 25059.3000
895.6000 25068.3000
896.6000 25077.3000
897.6000 25086.3000
898.6000 25095.3000
899.6000 25104.3000
900.6000 25113.3000
901.6000 25122.3000
902.6000 25131.3000
903.6000 25140.3000
904.6000 25149.3000
